BuildTime, HF, TableSize, Load, UniqueLoad, AvgBucketSize, BBS, BBC, BBT, SMS, SBC, SBT
0.47777, 1, 32768, 466569, 32663, 14.2386, 1046, 1, 0.0005418, 0, 105, 0.0003986
0.435883, 1, 32768, 466569, 32663, 14.2386, 1046, 1, 0.0003519, 0, 105, 0.0003884
0.438759, 1, 32768, 466676, 32663, 14.2418, 1046, 1, 0.0004433, 0, 105, 0.0008841
0.164436, 1, 32768, 466676, 32663, 14.2418, 1046, 1, 0.0001599, 0, 105, 0.000142
0.162304, 1, 32768, 466676, 32663, 14.2418, 1046, 1, 0.0001443, 0, 105, 0.0001327
0.16845, 1, 32768, 466677, 32663, 14.2419, 1046, 1, 0.0001435, 0, 105, 0.0001442
0.16989, 1, 32768, 466677, 32663, 14.2419, 1046, 1, 0.000168, 0, 105, 0.0001526
0.169428, 1, 32768, 466676, 32663, 14.2418, 1046, 1, 0.0001587, 0, 105, 0.0001336
0.170005, 1, 32768, 466677, 32663, 14.2419, 1046, 1, 0.0001444, 0, 105, 0.0001326
0.163304, 1, 32768, 466676, 32663, 14.2418, 1046, 1, 0.0002762, 0, 105, 0.0001336
0.167391, 1, 32768, 466677, 32663, 14.2419, 1046, 1, 0.0001543, 0, 105, 0.0001339
0.169073, 1, 32768, 466677, 32663, 14.2419, 1046, 1, 0.0001316, 0, 105, 0.0001278
0.15744, 1, 32768, 466682, 32663, 14.242, 1046, 1, 0.0001369, 0, 105, 0.0001298
0.168541, 1, 32768, 466685, 32663, 14.2421, 1046, 1, 0.0001464, 0, 105, 0.0001343
0.164418, 1, 32768, 466687, 32663, 14.2422, 1046, 1, 0.0001439, 0, 105, 0.0001375
0.161817, 1, 32768, 466687, 32663, 14.2422, 1046, 1, 0.0001336, 0, 105, 0.0001672
0.158659, 1, 32768, 466687, 32663, 14.2422, 1046, 1, 0.0001634, 0, 105, 0.0001374
0.161658, 1, 32768, 466689, 32663, 14.2422, 1046, 1, 0.0001351, 0, 105, 0.00013
0.151126, 1, 32768, 466691, 32663, 14.2423, 1046, 1, 0.0001328, 0, 105, 0.0001299
0.155139, 1, 32768, 466691, 32663, 14.2423, 1046, 1, 0.0001694, 0, 105, 0.0001217
0.151661, 1, 32768, 466694, 32663, 14.2424, 1046, 1, 0.0001692, 0, 105, 0.0001218
0.16977, 1, 32768, 466694, 32663, 14.2424, 1046, 1, 0.0001581, 0, 105, 0.0001218
0.165868, 1, 32768, 466695, 32663, 14.2424, 1046, 1, 0.0001394, 0, 105, 0.0001258
0.161806, 1, 32768, 466696, 32663, 14.2424, 1046, 1, 0.0001365, 0, 105, 0.0001296
0.166423, 1, 32768, 466697, 32663, 14.2425, 1046, 1, 0.0001255, 0, 105, 0.00013
0.164168, 1, 32768, 466697, 32663, 14.2425, 1046, 1, 0.0001236, 0, 105, 0.000149
0.190966, 1, 32768, 466697, 32663, 14.2425, 1046, 1, 0.0001218, 0, 105, 0.000187
0.164289, 1, 32768, 466701, 32663, 14.2426, 1046, 1, 0.0001258, 0, 105, 0.0001302
0.182337, 1, 32768, 466701, 32663, 14.2426, 1046, 1, 0.0001242, 0, 105, 0.0001298
