4, 1, 0.0684996
5, 1, 0.0673654
5, 6, 0.0674822
4, 8, 0.0492351
3, 29, 0.0580982
4, 13, 0.0686493
4, 9, 0.0560987
6, 2, 0.0820738
3, 29, 0.053467
7, 1, 0.0842077
4, 6, 0.0668359
6, 2, 0.0826063
4, 11, 0.0715061
4, 12, 0.0597342
4, 8, 0.0615623
6, 1, 0.0716002
8, 2, 0.0030007
9, 1, 0.0041827
7, 2, 0.0022134
7, 1, 0.0042123
1, 48, 0.0040753
7, 1, 0.0034515
8, 1, 0.0002708
4, 6, 0.0003847
4, 15, 0.0001748
7, 2, 0.0002064
3, 26, 0.0001974
2, 14, 0.0001988
4, 9, 0.0127063
7, 2, 0.0075552
2, 9, 0.0061394
3, 2, 0.0078029
2, 18, 0.0116592
4, 10, 0.0070053
4, 21, 0.0054366
5, 2, 0.0005723
4, 13, 0.0007639
5, 2, 0.000623
1, 55, 0.0003595
6, 4, 0.0006106
5, 7, 0.0006585
2, 40, 0.0004434
5, 1, 0.0007792
3, 2, 0.0004883
2, 18, 0.0005349
3, 17, 0.0006555
4, 5, 0.0008089
2, 15, 0.0005477
4, 5, 0.0007325
3, 17, 0.0004778
4, 5, 0.0005327
4, 3, 0.0005154
6, 1, 0.0006627
4, 9, 0.0006835
2, 19, 0.0010778
5, 10, 0.0016236
3, 4, 0.0016675
4, 10, 0.0013847
5, 8, 0.0016597
2, 10, 0.0012226
1, 28, 0.000619
4, 9, 0.0009613
2, 18, 0.000719
4, 2, 0.0010535
3, 22, 0.0006846
4, 9, 0.0008235
2, 19, 0.0007221
6, 2, 0.0011776
3, 30, 0.0008537
5, 6, 0.0009502
7, 1, 0.0018411
4, 9, 0.001038
2, 19, 0.0008897
6, 2, 0.0010847
3, 30, 0.0009571
5, 1, 0.0010945
7, 2, 0.0015105
5, 9, 0.0010005
2, 27, 0.0006782
2, 12, 0.0007041
7, 2, 0.001615
5, 2, 0.0012391
4, 31, 0.0010574
3, 22, 0.000751
4, 1, 0.0008261
2, 23, 0.0006909
2, 18, 0.0008065
4, 7, 0.0020509
1, 28, 0.0006076
4, 26, 0.0009612
5, 1, 0.0011579
7, 3, 0.0013224
4, 26, 0.0006869
8, 1, 0.0025566
4, 1, 0.0011819
5, 1, 0.0007822
2, 6, 0.0005389
4, 1, 0.0012797
1, 28, 0.0010465
4, 9, 0.0010596
4, 1, 0.0014866
5, 1, 0.0010212
5, 1, 0.0020593
5, 1, 0.0016858
3, 13, 0.0012666
5, 1, 0.0012655
5, 1, 0.0011178
8, 1, 0.0009013
6, 2, 0.0018681
6, 1, 0.0008586
5, 1, 0.0008452
7, 1, 0.0013309
3, 14, 0.0013455
10, 1, 0.0008811
7, 1, 0.0012758
5, 3, 0.0013605
7, 1, 0.0017736
4, 7, 0.0011632
4, 4, 0.0009833
8, 2, 0.0010315
6, 1, 0.0013843
7, 1, 0.0014652
6, 1, 0.0009761
4, 1, 0.0009458
7, 1, 0.0013295
4, 10, 0.0021142
4, 10, 0.0015482
4, 11, 0.0021426
5, 7, 0.0023
6, 8, 0.0018847
7, 1, 0.0018971
4, 1, 0.0016565
8, 1, 0.0027624
8, 1, 0.0028052
4, 1, 0.0021302
4, 1, 0.0013024
4, 12, 0.0010774
4, 1, 0.0024116
4, 13, 0.0013806
5, 3, 0.0023804
4, 5, 0.0012822
6, 1, 0.0021455
3, 23, 0.0013529
4, 11, 0.0039148
3, 5, 0.0014187
5, 1, 0.0019734
7, 1, 0.0022083
4, 5, 0.0024468
4, 4, 0.0015691
2, 19, 0.0007356
4, 9, 0.0013584
2, 20, 0.001038
4, 1, 0.0016262
4, 8, 0.0016016
3, 2, 0.0011294
4, 6, 0.0015321
6, 3, 0.0021806
4, 8, 0.0011985
4, 6, 0.0011146
6, 4, 0.0014573
4, 8, 0.0015715
3, 4, 0.0020086
7, 1, 0.0025006
3, 5, 0.0020035
7, 1, 0.0023528
3, 5, 0.001444
3, 25, 0.0013
3, 12, 0.0011671
7, 1, 0.0020182
5, 6, 0.0024743
4, 9, 0.001845
4, 18, 0.0020553
8, 1, 0.0019308
3, 12, 0.0013889
4, 3, 0.0015642
3, 11, 0.0012384
7, 1, 0.0020185
5, 5, 0.0020538
6, 4, 0.0032861
10, 1, 0.0021768
9, 1, 0.0022685
9, 1, 0.0027034
9, 1, 0.0041798
13, 1, 0.0055583
